displayName,synonyms,compartment,stID
"""GDP [cytosol]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""cytosol""]","""R-ALL-29420"""
"""GDP [endocytic vesicle lumen]""","[""GDP""]","[""endocytic vesicle lumen""]","""R-ALL-8851528"""
"""GDP [endoplasmic reticulum lumen]""","[""GDP"", ""Guanosine 5'-Diphosphate"", ""Guanosine Diphosphate""]","[""endoplasmic reticulum lumen""]","""R-ALL-1467290"""
"""GDP [extracellular region]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""extracellular region""]","""R-ALL-114623"""
"""GDP [lysosomal membrane]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""lysosomal membrane""]","""R-ALL-9628545"""
"""GDP [mitochondrial matrix]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""mitochondrial matrix""]","""R-ALL-113525"""
"""GDP [nucleoplasm]""","[""GDP""]","[""nucleoplasm""]","""R-ALL-111349"""
"""GDP [plasma membrane]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""plasma membrane""]","""R-ALL-114549"""
"""GDP [platelet dense granule lumen]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""platelet dense granule lumen""]","""R-ALL-114622"""
"""GTP [ER to Golgi transport vesicle membrane]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""ER to Golgi transport vesicle membrane""]","""R-ALL-983318"""
"""GTP [Golgi lumen]""","[""GTP"", ""Guanosine 5'-triphosphate"", ""Guanosine triphosphate""]","[""Golgi lumen""]","""R-ALL-8851242"""
"""GTP [Golgi membrane]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""Golgi membrane""]","""R-ALL-1806221"""
"""GTP [cilium]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""cilium""]","""R-ALL-5617813"""
"""GTP [cytoplasmic vesicle membrane]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""cytoplasmic vesicle membrane""]","""R-ALL-1996291"""
"""GTP [cytosol]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""cytosol""]","""R-ALL-29438"""
"""GTP [early endosome membrane]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""early endosome membrane""]","""R-ALL-2130170"""
"""GTP [endocytic vesicle lumen]""","[""GTP""]","[""endocytic vesicle lumen""]","""R-ALL-8851508"""
"""GTP [extracellular region]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""extracellular region""]","""R-ALL-114626"""
"""GTP [lysosomal membrane]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""lysosomal membrane""]","""R-ALL-2213216"""
"""GTP [mitochondrial matrix]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""mitochondrial matrix""]","""R-ALL-113573"""
"""GTP [nucleoplasm]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""nucleoplasm""]","""R-ALL-113571"""
"""GTP [platelet dense granule lumen]""","[""GTP"", ""Guanosine 5'-triphosphate""]","[""platelet dense granule lumen""]","""R-ALL-114625"""
"""H+ [Golgi lumen]""","[""H+"", ""hydron""]","[""Golgi lumen""]","""R-ALL-425969"""
"""H+ [clathrin-sculpted acetylcholine transport vesicle lumen]""","[""H+"", ""hydron""]","[""clathrin-sculpted acetylcholine transport vesicle lumen""]","""R-ALL-372511"""
"""H+ [clathrin-sculpted monoamine transport vesicle lumen]""","[""H+"", ""hydron""]","[""clathrin-sculpted monoamine transport vesicle lumen""]","""R-ALL-374900"""
